date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:12:31,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:12:48,M1 Saperation Room,4,1,1,6,False,False
29-03-2022,17:13:14,M1 Saperation Room,3,3,0,6,False,False
29-03-2022,17:13:22,M1 Saperation Room,3,3,0,6,False,False
29-03-2022,17:14:19,M1 Saperation Room,3,0,1,4,False,False
29-03-2022,17:14:26,M1 Saperation Room,3,0,2,5,False,False
29-03-2022,17:14:29,M1 Saperation Room,4,0,1,5,False,False
29-03-2022,17:14:31,M1 Saperation Room,4,0,1,5,False,False
29-03-2022,17:14:40,M1 Saperation Room,3,0,0,3,False,False
29-03-2022,17:14:56,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:00,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:16,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:21,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:24,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:15:26,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:34,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:38,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:15:47,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:15:51,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:16:12,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:16:16,M1 Saperation Room,3,2,0,5,False,False
29-03-2022,17:16:18,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:16:25,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:16:29,M1 Saperation Room,2,3,1,6,False,False
29-03-2022,17:16:37,M1 Saperation Room,0,3,1,4,False,False
29-03-2022,17:16:53,M1 Saperation Room,1,3,0,4,False,False
29-03-2022,17:17:01,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:17:04,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:17:06,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:17:13,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:17:19,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:17:43,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:17:51,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:17:55,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:18:00,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:18:16,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:18:33,M1 Saperation Room,5,2,0,7,False,False
29-03-2022,17:18:52,M1 Saperation Room,2,2,1,5,False,False
29-03-2022,17:19:09,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:19:25,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:19:34,M1 Saperation Room,3,0,0,3,False,False
29-03-2022,17:19:36,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:19:39,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:19:44,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:19:50,M1 Saperation Room,1,0,0,1,False,False
29-03-2022,17:19:59,M1 Saperation Room,3,0,0,3,False,False
29-03-2022,17:20:07,M1 Saperation Room,3,0,0,3,False,False
29-03-2022,17:20:10,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:20:18,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:20:23,M1 Saperation Room,3,1,1,5,False,False
29-03-2022,17:20:25,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:20:27,M1 Saperation Room,3,1,1,5,False,False
29-03-2022,17:20:30,M1 Saperation Room,3,1,1,5,False,False
29-03-2022,17:20:33,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:20:36,M1 Saperation Room,4,2,0,6,False,False
29-03-2022,17:20:48,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:20:54,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:20:57,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:21:03,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:21:09,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:21:12,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:21:18,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:21:25,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:21:27,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:21:29,M1 Saperation Room,3,3,0,6,False,False
29-03-2022,17:21:42,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:21:55,M1 Saperation Room,3,2,0,5,False,False
29-03-2022,17:21:57,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:22:04,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:22:09,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:22:12,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:22:15,M1 Saperation Room,3,0,0,3,False,False
29-03-2022,17:22:16,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,17:22:20,M1 Saperation Room,4,0,0,4,False,False
29-03-2022,17:22:28,M1 Saperation Room,2,1,1,4,False,False
29-03-2022,17:22:40,M1 Saperation Room,5,1,0,6,False,False
29-03-2022,17:22:43,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:22:52,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:22:59,M1 Saperation Room,3,1,1,5,False,False
29-03-2022,17:23:02,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:23:06,M1 Saperation Room,4,2,0,6,False,False
29-03-2022,17:23:24,M1 Saperation Room,1,3,0,4,False,False
29-03-2022,17:23:26,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:23:37,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:23:53,M1 Saperation Room,3,1,1,5,False,False
29-03-2022,17:23:58,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:24:00,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:24:10,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:25:03,M1 Saperation Room,1,1,1,3,False,True
29-03-2022,17:25:19,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:25:23,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:25:28,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:25:37,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:25:43,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:25:48,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:25:54,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:26:01,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:26:05,M1 Saperation Room,0,2,1,3,False,False
